Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43445841,"To Be Taught, If Fortunate",Becky  Chambers,"Chambers, Becky",,"=""""","=""""",0,4.20,Harper Voyager,Kindle Edition,160,2019,2019,,2024/07/13,currently-reading,currently-reading (#3),currently-reading,,,Rosalyn marked it as Want To Read and it sounded interesting.,1,0
111060857,Hardcore Software: Inside the Rise and Fall of the PC Revolution,Steven Sinofsky,"Sinofsky, Steven",,"=""1667887742""","=""9781667887746""",0,4.13,BookBaby,Kindle Edition,1798,2023,,,2024/07/02,currently-reading,currently-reading (#2),currently-reading,,,,1,0
205224055,The Light Eaters: How the Unseen World of Plant Intelligence Offers a New Understanding of Life on Earth,Zoë Schlanger,"Schlanger, Zoë",,"=""""","=""9798874627065""",0,4.37,HarperCollins,Audio CD,,2024,,,2024/05/19,currently-reading,currently-reading (#1),currently-reading,,,Nicholas (Liberties) recommended this based on a podcast too.,1,0
60417443,The Family Game,Catherine Steadman,"Steadman, Catherine",,"=""0593158067""","=""9780593158067""",0,3.85,Ballantine Books,Hardcover,319,2022,2022,,2024/07/05,to-read,to-read (#192),to-read,,,Recommended in a review by Sarah Drasner,0,0
32486539,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""""","=""""",4,4.13,Brilliance Audio,Audible Audio,12,2016,2016,2024/04/02,2024/07/05,,,read,,,,2,0
22910024,"The Glass Magician (The Paper Magician, #2)",Charlie N. Holmberg,"Holmberg, Charlie N.",,"=""""","=""""",3,3.93,47North,Kindle Edition,224,2014,2014,2024/07/02,2024/06/27,,,read,,,,1,0
105734552,The Daughter of Time: An Inspector Alan Grant Mystery,Josephine Tey,"Tey, Josephine",,"=""""","=""""",3,3.90,Evergreen Publishers,Kindle Edition,202,2023,1951,2024/06/27,2024/06/22,,,read,,,,1,0
62586003,Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,"Tulleken, Chris van",,"=""1324036729""","=""9781324036722""",0,4.43,W. W. Norton & Company,Hardcover,384,2023,2023,,2024/06/27,to-read,to-read (#191),to-read,,,"Dean Barker (gadgetopia) posted that he read it, and it sounds interesting.",0,0
13574503,The Song of Achilles,Madeline Miller,"Miller, Madeline",Frazer Douglas,"=""0062115588""","=""9780062115584""",4,4.32,HarperAudio,Audiobook,11,2012,2011,2024/06/26,2021/06/29,,,read,,,,1,0
18160995,The Wandering Earth: Classic Science Fiction Collection,Liu Cixin,"Cixin, Liu",,"=""""","=""""",0,4.15,Beijing Guomi Digital Technology,Kindle Edition,477,2013,2000,,2017/08/05,to-read,to-read (#11),to-read,,,,0,0
45310145,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",,"=""0399592105""","=""""",4,4.41,Random House,Kindle Edition,250,2019,2019,2024/06/22,2022/04/06,,,read,,,,1,0
57021245,Light From Uncommon Stars,Ryka Aoki,"Aoki, Ryka",,"=""""","=""""",4,4.07,Tor Books,Kindle Edition,384,2021,2021,2024/06/16,2023/11/03,,,read,,,,1,0
198619950,The Rule of Threes,Jeffery Deaver,"Deaver, Jeffery",,"=""1662518374""","=""9781662518379""",3,3.85,Amazon Original Stories,Kindle Edition,261,2024,2024,2024/06/10,2024/06/06,,,read,,,,1,0
60838950,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""""","=""""",4,4.44,Scribner,Kindle Edition,463,2022,2022,2024/06/06,2024/01/01,,,read,,,,1,0
36647179,"Persepolis Rising (The Expanse, #7)",James S.A. Corey,"Corey, James S.A.",Jefferson Mays,"=""""","=""""",0,4.37,Recorded Books,Audible Audio,21,2017,2017,,2024/06/11,to-read,to-read (#190),to-read,,,,0,0
199798953,One Perfect Couple,Ruth Ware,"Ware, Ruth",,"=""1668025590""","=""9781668025598""",0,3.71,Scout Press,Hardcover,385,2024,2024,,2024/06/05,to-read,to-read (#189),to-read,,,Sarah Drasner rated this 5 stars,0,0
204891840,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.24,Penguin,Audiobook,,2022,1987,2024/05/30,2023/07/22,,,read,,,,1,0
57934742,Cogs and Fur: A Steampunk Beauty and the Beast (Mutants and Modifieds Book 2),C.I. Chevron,"Chevron, C.I.",,"=""""","=""""",3,4.57,Cypress Knoll Press,Kindle Edition,372,2021,,2024/05/28,2022/12/03,,,read,,,,1,0
56883591,Billy Summers,Stephen King,"King, Stephen",,"=""""","=""""",4,4.20,Scribner ,Kindle Edition,528,2021,2021,2024/05/18,2022/07/09,,,read,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.42,Atria Books,Hardcover,389,2017,2017,,2024/05/18,to-read,to-read (#188),to-read,,,One of the top entries in the 2024 OBaW challenge.,0,0
42770976,Becoming,Michelle Obama,"Obama, Michelle",,"=""0241983002""","=""9780241983003""",4,4.45,Penguin,Audiobook,20,2018,2018,2024/05/17,2024/04/18,,,read,,,,1,0
58503121,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series Book 1),Thibaut Meurisse,"Meurisse, Thibaut",Kerry J.  Donovan,"=""""","=""""",0,4.02,,Kindle Edition,51,2021,2021,,2024/05/16,to-read,to-read (#187),to-read,,,,0,0
54578747,"A Long Time Ago in a Cutting Room Far, Far Away: My Fifty Years Editing Hollywood Hits—Star Wars, Carrie, Ferris Bueller's Day Off, Mission: Impossible, and More",Paul Hirsch,"Hirsch, Paul",,"=""1641605243""","=""9781641605243""",0,4.21,Chicago Review Press,Paperback,392,2021,2019,,2024/05/16,to-read,to-read (#186),to-read,,,Maneesh recommended this during OBAW 2024,0,0
57429914,The Keeper of Happy Endings,Barbara  Davis,"Davis, Barbara",,"=""1542021480""","=""9781542021487""",3,4.48,Lake Union Publishing,Kindle Edition,415,2021,2021,2024/05/09,2023/07/15,,,read,,,,1,0
199017130,The Diary of a CEO: The 33 Laws of Business and Life,Steven Bartlett,"Bartlett, Steven",,"=""0593715837""","=""9780593715833""",0,4.19,Portfolio,Hardcover,368,2023,,,2024/05/08,to-read,to-read (#185),to-read,,,Marina recommended the podcast that this book is based on,0,0
36461143,"Retribution (Awaken Online, #2.5)",Travis Bagwell,"Bagwell, Travis",,"=""""","=""""",4,4.39,,Kindle Edition,277,2017,2017,2024/05/04,2024/04/30,,,read,,,,1,0
60406379,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1797147943""","=""9781797147949""",0,4.46,Simon & Schuster Audio,Audiobook,7,2022,2022,,2024/04/27,to-read,to-read (#183),to-read,,,"Rosalyn is reading this, and it's high in the top books of the 2024 OBAW challenge at Google.",0,0
